item_no,barcode,name,comp_nm
55815,8681042333046,투데이)딜라이트피그필드쿠키10개입,투데이
55816,8901972067188,원인터내셔날)야미딸기향샌드위치비스킷,원인터내셔날
55817,9555115900949,이멕스무역)탑퍼초콜릿웨이퍼스틱,이멕스무역
55818,8809256677842,미성패밀리)허쉬초콜릿베리쿠키12개입,미성패밀리
55819,8809633160028,케이비인터내셔널)몬테고초코말차쿠키8개입,케이비인터내셔널
55820,9555115907933,효성인터내셔날)녹차웨이퍼8개입,효성인터내셔날
55821,9555319109186,이멕스무역)포테이토크리스프바비큐맛5개입,이멕스무역
55822,9555319109193,이멕스무역)포테이토크리스프스위트콘맛5개입,이멕스무역
55823,9555319109957,이멕스무역)스위트포테이토크리스프5개입,이멕스무역
55825,8809632251130,엘투커뮤니케이션즈)콩순이케이크하우스아이알파캔디(핑크),엘투커뮤니케이션즈
55826,8809632250980,엘투커뮤니케이션즈)콩순이아이스크림머신아이알파캔디(핑크),엘투커뮤니케이션즈
55827,6921078594847,엘투커뮤니케이션즈)콩순이자판기캔디(빨강),엘투커뮤니케이션즈
55828,6914204008578,투데이)캐쳐토이캔디(핑크),투데이
55829,40144016,매크로통상)웨더스오리지날크림캔디,매크로통상
55831,686464533003,예은상사)레스큐(캔디류)(자동차모양),예은상사
55832,6933618000091,보람비티)슬램덩크(추잉껌)농구대있음(빨강),보람비티
55833,6933618000046,보람비티)더블검블(추잉껌)(노랑),보람비티
55834,8809355827384,나무인터내셔널)도라에몽팝핑롤리팝딸기향(테이크아웃컵모양),나뭉인터내셔널
55837,5200701002395,코코인터네셔널)헬로키티엘이디뷰어(손전등모양),코코인터네셔널
55839,6933618000091,보람비티)슬램덩크(추잉껌)농구대있음(초록),보람비티
55840,6921078594434,에이플러스)뽀로로와친구들캔디자판기(보라색옷),에이플러스
55841,5011053024375,일신국제무역)트리플파워푸시팝레드,일신국제무역
55842,5011053024214,일신국제무역)메가푸시팝스트로베리향,일신국제무역
55843,8809632250980,엘투커뮤니케이션즈)콩순이아이스크림머신아이알파캔디(하늘색),엘투커뮤니케이션즈
55844,686464577007,"지누상사)와키몽키(갈색원숭이,갈색원통)",지누상사
55847,8002590043148,명도물산)토스트비스켓,명도물산
55848,9556439882027,위스트)렉서스초코크림샌드,위스트
55849,8005380030045,여리수)프레디부온돌체후레시밀크,여리수
55850,9556085793821,지오인터내셔날)디럭스초콜릿샌드위치,지오인터내셔날
55851,9556085792923,지오인터내셔날)디럭스피넛버터샌드위치,지오인터내셔날
55852,8000350004491,이멕스무역)밀레포글리에퍼프패스트리밀크크림맛,이멕스무역
55853,8000350004781,이멕스무역)밀레포글리에퍼프패스트리초코크림맛,이멕스무역
55854,8005380030038,여리수)프레디부온돌체스트로베리&요거트,여리수
55855,5400265035918,효성인터내셔날프팔린본본스디초콜릿,효성인터내셔날
55856,014100077121,스위트스페이스)초콜릿천크소살리토밀크초콜릿20%,스위트스페이스
55857,4903326190287,푸드네추럴)우마이봉콘포타지맛,푸드네추럴
55858,4712928340644,폴라리스)누가노가비스킷,폴라리스
55859,8000380140541,델리팜)로하커웨하스티라미스,델리팜
55860,8000380147144,델리팜)로하커웨하스에스프레소,델리팜
55920,4902888971228,매크로통상)모리가나맛차카라멜149G,매크로통상
55923,041186001573,델리팜)앤디스토피크런치띤,델리팜
55928,8809410090180,네오브리즈)퍼지락자일리톨크리스탈캔디복숭아향,네오브리즈
55931,8805915546016,종근당건강)락토조이구미젤리복숭아맛50G,종근당건강
55932,8809266003235,매크로통상)LEON레옹비타민C자몽젤리80G,매크로통상
55933,880675859930,신세계인터내셔날)달콤바삭누룽지과자60G,신세계인터내셔날
55934,8809486241097,다노)브라운라이스소울프로틴초코35G,다노
55935,8809486240779,다노)브라운라이스소울프로틴베리35G,다노
55938,8805915546511,종근당건강)락토조이구미젤리망고맛50G,종근당건강
55941,4902750633155,삼경에프에스)코로로그레이프48G,삼경에프에스
55965,8801024946914,대상)종가집우리쌀누룽지,대상
55969,8807354217052,태진무역)고소한단호박칩,태진무역
55970,8807354217045,태진무역)달콤한자색고구마칩,태진무역
